"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";""
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Rede";"https://dadosabertos.camara.leg.br/api/v2/partidos/36886";""
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Maioria";"";"Liberado"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Liberado"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Republican";"";"Não"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Podemos";"";"Liberado"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Avante";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";""
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Patriota";"https://dadosabertos.camara.leg.br/api/v2/partidos/37907";"Liberado"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Cidadania";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";""
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Minoria";"";""
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PROS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36763";"Liberado"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Liberado"
"2254287-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2254287-66";"PLEN";"Rejeitado o destaque. Sim: 125; não: 187; total: 312.";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"Não"
"2254287-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2254287-66";"PLEN";"Rejeitado o destaque. Sim: 125; não: 187; total: 312.";"Avante";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";"Não"
"2254287-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2254287-66";"PLEN";"Rejeitado o destaque. Sim: 125; não: 187; total: 312.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"2254287-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2254287-66";"PLEN";"Rejeitado o destaque. Sim: 125; não: 187; total: 312.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";""
"2254287-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2254287-66";"PLEN";"Rejeitado o destaque. Sim: 125; não: 187; total: 312.";"Podemos";"";"Sim"
"2254287-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2254287-66";"PLEN";"Rejeitado o destaque. Sim: 125; não: 187; total: 312.";"Rede";"https://dadosabertos.camara.leg.br/api/v2/partidos/36886";""
